"STATISTIC","Statistic Label","TLIST(A1)","Year","C02480V03003","Type of Offence","C02479V04377","Garda Region","UNIT","VALUE"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","30","Eastern Region","Number","12348"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","40","Southern Region","Number","11788"
"RCD06C01","Recorded crimes","2018","2018","08","Theft and Related Offences","IE0","State","Number","66911"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","2825"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","20","North Western Region","Number","1070"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","1354"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","40","Southern Region","Number","1059"
"RCD06C01","Recorded crimes","2018","2018","09","Fraud, Deception and Related Offences","IE0","State","Number","6308"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","6875"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","20","North Western Region","Number","2209"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","30","Eastern Region","Number","5086"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","40","Southern Region","Number","4103"
"RCD06C01","Recorded crimes","2018","2018","10","Controlled Drug Offences","IE0","State","Number","18273"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","1147"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","20","North Western Region","Number","391"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","30","Eastern Region","Number","442"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","40","Southern Region","Number","462"
"RCD06C01","Recorded crimes","2018","2018","11","Weapons and Explosives Offences","IE0","State","Number","2442"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","8475"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","20","North Western Region","Number","3776"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","30","Eastern Region","Number","4714"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","40","Southern Region","Number","4552"
"RCD06C01","Recorded crimes","2018","2018","12","Damage to Property and to the Environment","IE0","State","Number","21517"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","10416"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","20","North Western Region","Number","6939"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","30","Eastern Region","Number","5969"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","40","Southern Region","Number","8639"
"RCD06C01","Recorded crimes","2018","2018","13","Public Order and other Social Code Offences","IE0","State","Number","31963"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","9250"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","1618"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","2576"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","3101"
"RCD06C01","Recorded crimes","2018","2018","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number","16545"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","10","Dublin Metropolitan Region","Number","24"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","20","North Western Region","Number","12"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","30","Eastern Region","Number","11"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","40","Southern Region","Number","16"
"RCD06C01","Recorded crimes","2019","2019","01","Homicide Offences","IE0","State","Number","63"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","10","Dublin Metropolitan Region","Number","1057"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","20","North Western Region","Number","717"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","30","Eastern Region","Number","831"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","40","Southern Region","Number","758"
"RCD06C01","Recorded crimes","2019","2019","02","Sexual Offences","IE0","State","Number","3363"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","7473"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","4623"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","4723"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","5020"
"RCD06C01","Recorded crimes","2019","2019","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number","21839"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","1977"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","20","North Western Region","Number","2131"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","30","Eastern Region","Number","2345"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","40","Southern Region","Number","2249"
"RCD06C01","Recorded crimes","2019","2019","04","Dangerous or Negligent Acts","IE0","State","Number","8702"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","39"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","20","North Western Region","Number","27"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","30","Eastern Region","Number","20"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","40","Southern Region","Number","41"
"RCD06C01","Recorded crimes","2019","2019","05","Kidnapping and Related Offences","IE0","State","Number","127"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","1592"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","222"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","254"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","276"
"RCD06C01","Recorded crimes","2019","2019","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number","2344"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","7723"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","20","North Western Region","Number","2347"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","30","Eastern Region","Number","4178"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","40","Southern Region","Number","2504"
"RCD06C01","Recorded crimes","2019","2019","07","Burglary and Related Offences","IE0","State","Number","16752"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","36986"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","20","North Western Region","Number","7437"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","30","Eastern Region","Number","12597"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","40","Southern Region","Number","11124"
"RCD06C01","Recorded crimes","2019","2019","08","Theft and Related Offences","IE0","State","Number","68144"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","3517"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","20","North Western Region","Number","1337"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","1611"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","40","Southern Region","Number","1454"
"RCD06C01","Recorded crimes","2019","2019","09","Fraud, Deception and Related Offences","IE0","State","Number","7919"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","8355"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","20","North Western Region","Number","2806"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","30","Eastern Region","Number","5825"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","40","Southern Region","Number","4324"
"RCD06C01","Recorded crimes","2019","2019","10","Controlled Drug Offences","IE0","State","Number","21310"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","1255"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","20","North Western Region","Number","455"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","30","Eastern Region","Number","474"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","40","Southern Region","Number","503"
"RCD06C01","Recorded crimes","2019","2019","11","Weapons and Explosives Offences","IE0","State","Number","2687"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","8865"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","20","North Western Region","Number","3967"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","30","Eastern Region","Number","4654"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","40","Southern Region","Number","4431"
"RCD06C01","Recorded crimes","2019","2019","12","Damage to Property and to the Environment","IE0","State","Number","21917"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","10935"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","20","North Western Region","Number","7261"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","30","Eastern Region","Number","6230"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","40","Southern Region","Number","7970"
"RCD06C01","Recorded crimes","2019","2019","13","Public Order and other Social Code Offences","IE0","State","Number","32396"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","10275"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","2156"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","2853"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","2741"
"RCD06C01","Recorded crimes","2019","2019","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number","18025"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","10","Dublin Metropolitan Region","Number","23"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","20","North Western Region","Number","14"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","30","Eastern Region","Number","16"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","40","Southern Region","Number","18"
"RCD06C01","Recorded crimes","2020","2020","01","Homicide Offences","IE0","State","Number","71"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","10","Dublin Metropolitan Region","Number","956"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","20","North Western Region","Number","616"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","30","Eastern Region","Number","816"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","40","Southern Region","Number","681"
"RCD06C01","Recorded crimes","2020","2020","02","Sexual Offences","IE0","State","Number","3069"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","6674"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","4013"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","4226"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","4160"
"RCD06C01","Recorded crimes","2020","2020","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number","19073"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","2433"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","20","North Western Region","Number","2108"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","30","Eastern Region","Number","2139"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","40","Southern Region","Number","2066"
"RCD06C01","Recorded crimes","2020","2020","04","Dangerous or Negligent Acts","IE0","State","Number","8746"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","52"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","20","North Western Region","Number","37"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","30","Eastern Region","Number","23"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","40","Southern Region","Number","21"
"RCD06C01","Recorded crimes","2020","2020","05","Kidnapping and Related Offences","IE0","State","Number","133"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","1275"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","133"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","213"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","201"
"RCD06C01","Recorded crimes","2020","2020","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number","1822"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","5142"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","20","North Western Region","Number","1544"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","30","Eastern Region","Number","2401"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","40","Southern Region","Number","1798"
"RCD06C01","Recorded crimes","2020","2020","07","Burglary and Related Offences","IE0","State","Number","10885"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","27577"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","20","North Western Region","Number","5824"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","30","Eastern Region","Number","9193"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","40","Southern Region","Number","8867"
"RCD06C01","Recorded crimes","2020","2020","08","Theft and Related Offences","IE0","State","Number","51461"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","3305"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","20","North Western Region","Number","1443"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","1652"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","40","Southern Region","Number","1451"
"RCD06C01","Recorded crimes","2020","2020","09","Fraud, Deception and Related Offences","IE0","State","Number","7851"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","10","Dublin Metropolitan Region","Number","9633"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","20","North Western Region","Number","3399"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","30","Eastern Region","Number","4953"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","40","Southern Region","Number","5142"
"RCD06C01","Recorded crimes","2020","2020","10","Controlled Drug Offences","IE0","State","Number","23127"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","10","Dublin Metropolitan Region","Number","1355"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","20","North Western Region","Number","508"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","30","Eastern Region","Number","604"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","40","Southern Region","Number","621"
"RCD06C01","Recorded crimes","2020","2020","11","Weapons and Explosives Offences","IE0","State","Number","3088"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","10","Dublin Metropolitan Region","Number","7850"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","20","North Western Region","Number","3521"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","30","Eastern Region","Number","4279"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","40","Southern Region","Number","3870"
"RCD06C01","Recorded crimes","2020","2020","12","Damage to Property and to the Environment","IE0","State","Number","19520"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","10","Dublin Metropolitan Region","Number","11482"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","20","North Western Region","Number","5546"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","30","Eastern Region","Number","5188"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","40","Southern Region","Number","6812"
"RCD06C01","Recorded crimes","2020","2020","13","Public Order and other Social Code Offences","IE0","State","Number","29028"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","10","Dublin Metropolitan Region","Number","5130"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","20","North Western Region","Number","1477"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","30","Eastern Region","Number","2056"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","40","Southern Region","Number","2305"
"RCD06C01","Recorded crimes","2020","2020","15","Offences against Government, Justice Procedures and Organisation of Crime","IE0","State","Number","10968"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","10","Dublin Metropolitan Region","Number","19"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","20","North Western Region","Number","12"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","30","Eastern Region","Number","12"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","40","Southern Region","Number","12"
"RCD06C01","Recorded crimes","2021","2021","01","Homicide Offences","IE0","State","Number","55"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","10","Dublin Metropolitan Region","Number","1063"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","20","North Western Region","Number","764"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","30","Eastern Region","Number","901"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","40","Southern Region","Number","789"
"RCD06C01","Recorded crimes","2021","2021","02","Sexual Offences","IE0","State","Number","3517"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","10","Dublin Metropolitan Region","Number","6734"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","20","North Western Region","Number","4413"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","30","Eastern Region","Number","4589"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","40","Southern Region","Number","4616"
"RCD06C01","Recorded crimes","2021","2021","03","Attempts/Threats to Murder, Assaults, Harassment and Related offences","IE0","State","Number","20352"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","10","Dublin Metropolitan Region","Number","2134"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","20","North Western Region","Number","2151"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","30","Eastern Region","Number","2042"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","40","Southern Region","Number","1954"
"RCD06C01","Recorded crimes","2021","2021","04","Dangerous or Negligent Acts","IE0","State","Number","8281"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","10","Dublin Metropolitan Region","Number","45"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","20","North Western Region","Number","30"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","30","Eastern Region","Number","38"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","40","Southern Region","Number","37"
"RCD06C01","Recorded crimes","2021","2021","05","Kidnapping and Related Offences","IE0","State","Number","150"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","10","Dublin Metropolitan Region","Number","1148"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","20","North Western Region","Number","168"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","30","Eastern Region","Number","228"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","40","Southern Region","Number","190"
"RCD06C01","Recorded crimes","2021","2021","06","Robbery, Extortion and Hijacking Offences","IE0","State","Number","1734"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","10","Dublin Metropolitan Region","Number","3587"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","20","North Western Region","Number","1378"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","30","Eastern Region","Number","2199"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","40","Southern Region","Number","1423"
"RCD06C01","Recorded crimes","2021","2021","07","Burglary and Related Offences","IE0","State","Number","8587"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","10","Dublin Metropolitan Region","Number","25211"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","20","North Western Region","Number","5180"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","30","Eastern Region","Number","8354"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","40","Southern Region","Number","8046"
"RCD06C01","Recorded crimes","2021","2021","08","Theft and Related Offences","IE0","State","Number","46791"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","10","Dublin Metropolitan Region","Number","6149"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","20","North Western Region","Number","3439"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","30","Eastern Region","Number","3931"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","40","Southern Region","Number","3572"
"RCD06C01","Recorded crimes","2021","2021","09","Fraud, Deception and Related Offences","IE0","State","Number","17091"
